Module,Function,Haskell,Gallina,Proofs
Core,mkFamilyTyCon,17,,
Core,mkFamilyTyConApp,9,,
Core,mkFloatLit,1,5,
Core,mkFloatLitFloat,3,,
Core,mkForAllCo,7,,
Core,mkForAllCos,7,,
Core,mkForAllTy,2,,
Core,mkForAllTys,2,,
Core,mkForAllTys',4,,
Core,mkFunCo,6,,
Core,mkFunCos,2,,
Core,mkFunTy,2,,
Core,mkFunTyCon,11,4,
Core,mkFunTys,2,,
Core,mkGlobalVar,3,2,
Core,mkHeadStrict,2,2,
Core,mkHeteroCoercionType,4,,
Core,mkHeteroPrimEqPred,2,,
Core,mkHeteroReprPrimEqPred,3,,
Core,mkHoleCo,2,,
Core,mkHomoForAllCos,4,,
Core,mkHomoForAllCos_NoRefl,4,,
Core,mkHomoPhantomCo,6,,
Core,mkInScopeSet,2,2,
Core,mkInstCo,4,,
Core,mkInt64LitInt64,2,,
Core,mkIntLit,1,,
Core,mkIntLitInt,3,,
Core,mkInvForAllTy,3,,
Core,mkInvForAllTys,3,,
Core,mkJointDmd,2,2,
Core,mkJointDmds,16,3,
Core,mkKindCo,12,,
Core,mkKindTyCon,7,,
Core,mkLRCo,3,,
Core,mkLamType,1,,
Core,mkLamTypes,5,,
Core,mkLams,3,6,
Core,mkLet,3,6,
Core,mkLetNonRec,2,2,
Core,mkLetRec,3,6,
Core,mkLets,1,2,
Core,mkLiftedPrimTyCon,6,,
Core,mkLiftingContext,4,,
Core,mkLocalVar,3,7,
Core,mkManyUsedDmd,,2,
Core,mkNamedTyConBinder,2,2,
Core,mkNamedTyConBinders,2,2,
Core,mkNoCount,5,,
Core,mkNoScope,5,,
Core,mkNomReflCo,2,,
Core,mkNthCo,27,,
Core,mkNthCoRole,6,,
Core,mkNumLitTy,2,,
Core,mkOnceUsedDmd,3,2,
Core,mkOtherCon,2,,
Core,mkPatSyn,28,,
Core,mkPhantomCo,3,,
Core,mkPiCo,3,,
Core,mkPiCos,2,,
Core,mkPiTy,3,,
Core,mkPiTys,2,,
Core,mkPrelTyConRepName,10,46,
Core,mkPrimEqPred,6,,
Core,mkPrimEqPredRole,4,,
Core,mkPrimTyCon,5,,
Core,mkPrimTyCon',16,,
Core,mkProdDmd,4,3,
Core,mkPromotedDataCon,16,,
Core,mkProofIrrelCo,8,,
Core,mkReflCo,3,,
Core,mkRepReflCo,2,,
Core,mkReprPrimEqPred,6,,
Core,mkRnEnv2,4,2,
Core,mkRuleEnv,2,16,
Core,mkRuntimeRepCo,5,,
Core,mkSCall,3,2,
Core,mkSProd,5,5,
Core,mkSpecForAllTys,3,,
Core,mkStrLitTy,2,,
Core,mkStrictSig,2,2,
Core,mkStringLit,3,2,
Core,mkSubCo,10,,
Core,mkSubstLiftingContext,2,,
Core,mkSumTyCon,25,,
Core,mkSymCo,5,,
Core,mkSynonymTyCon,16,,
Core,mkTCvSubst,2,,
Core,mkTcTyCon,16,,
Core,mkTcTyVar,8,,
Core,mkTransAppCo,49,,
Core,mkTransCo,4,,
Core,mkTupleTyCon,26,,
Core,mkTvSubst,2,,
Core,mkTvSubstPrs,9,,
Core,mkTyApps,1,,
Core,mkTyArg,4,,
Core,mkTyBind,2,,
Core,mkTyCoInScopeSet,3,,
Core,mkTyConApp,7,,
Core,mkTyConAppCo,11,,
Core,mkTyConBindersPreferAnon,14,,
Core,mkTyConKind,6,,
Core,mkTyConTy,2,,
Core,mkTyVar,5,,
Core,mkTyVarBinder,2,,
Core,mkTyVarBinders,2,,
Core,mkTyVarTy,3,,
Core,mkTyVarTys,3,,
Core,mkUCall,2,2,
Core,mkUProd,4,5,
Core,mkUnbranchedAxInstCo,4,,
Core,mkUnbranchedAxInstLHS,2,,
Core,mkUnbranchedAxInstRHS,2,,
Core,mkUnivCo,8,,
Core,mkUnsafeCo,3,,
Core,mkVarApps,1,2,
Core,mkVarEnv,1,2,
Core,mkVarEnv_Directly,1,2,
Core,mkVarSet,1,2,
Core,mkVisForAllTys,3,,
Core,mkWord64LitWord64,2,,
Core,mkWordLit,1,,
Core,mkWordLitWord,3,,
Core,mkWorkerDemand,4,10,
Core,mk_id,8,3,
Core,modifyDVarEnv,5,6,
Core,modifyJoinResTy,12,,
Core,modifyVarEnv,1,6,
Core,modifyVarEnv_Directly,8,7,
Core,mustHaveLocalBinding,2,2,
Core,needSaturated,3,2,
Core,neverUnfoldGuidance,3,2,
Core,newTyConCo,4,6,
Core,newTyConCo_maybe,3,6,
Core,newTyConDataCon_maybe,3,6,
Core,newTyConEtadArity,4,8,
Core,newTyConEtadRhs,3,7,
Core,newTyConInstRhs,6,,
Core,newTyConRhs,4,6,
Core,nextRole,8,,
Core,noCafIdInfo,3,2,
Core,noFreeVarsOfCo,21,,
Core,noFreeVarsOfProv,11,,
Core,noFreeVarsOfType,9,,
Core,noUnfolding,1,2,
Core,nonDetCmpTc,7,,
Core,nonDetCmpType,5,,
Core,nonDetCmpTypeX,64,,
Core,nonDetCmpTypes,9,,
Core,nonDetCmpTypesX,6,,
